name	pass_rate	mean_auc	sum_auc	F2_lift	F4_lift	F8_lift	F16_lift
baseline_lam0	0.021666666492819786	0.418	0.421	0.611111	0.529412	0.470588	0.157895
lam001	0.021666666492819786	0.346	0.342	1	1	1	0.538462
lam003	0.02500000037252903	0.257	0.291	0.571429	0.210526	0.05	0
lam01_k8	0.03333333507180214	0.262	0.238	0.6	0.212121	0.0277778	0
lam03	0.018333332613110542	0.459	0.433	1	0.6	0.6	0.4375
lam01_k2	0.03333333507180214	0.435	0.432	0.851852	0.538462	0.259259	0.0769231
lam01_k4	0.018333332613110542	0.373	0.396	0.789474	0.5	0.117647	0
ema099	0.021666666492819786	0.323	0.292	0.7	0.363636	0	0
