name	pass_rate	mean_auc	sum_auc	F2_lift	F4_lift	F8_lift	F16_lift
py_baseline__no_JEPA_	0.355556	0.787	0.859	1.06887	1.00843	0.71875	0.224044
py_JEPA__=0.1_k=4	0.344444	0.767	0.867	1.09855	1.04638	0.752907	0.235632
py_JEPA__=0.03_k=4	0.322222	0.847	0.862	1.05758	0.962617	0.663551	0.212575
